Money;Date
178.68;2021-04-15 14:59:10.664578
178.58;2021-04-15 14:59:41.089576
178.48;2021-04-15 15:00:27.922012
178.56;2021-04-15 15:01:40.205805
178.46;2021-04-15 15:02:26.459424
178.55;2021-04-15 15:03:24.234350
178.64;2021-04-15 15:03:52.760888
178.54;2021-04-15 15:04:28.929572
178.44;2021-04-15 15:06:39.492093
178.34;2021-04-15 15:07:19.219595
178.43;2021-04-15 15:08:32.024736
178.52;2021-04-15 15:09:19.039323
178.62;2021-04-15 15:10:19.122335
178.71;2021-04-15 15:11:53.393788
178.61;2021-04-15 15:14:28.341885
178.51;2021-04-15 15:17:07.521015
178.41;2021-04-15 15:17:50.501599
178.31;2021-04-15 15:18:54.936342
178.21;2021-04-15 15:19:22.408440
178.11;2021-04-15 15:21:19.009221
178.20;2021-04-15 15:21:45.222592
178.29;2021-04-15 15:22:10.100746
178.19;2021-04-15 15:23:15.174665
178.19;2021-04-15 15:23:42.708378
178.28;2021-04-15 15:25:17.355317
178.28;2021-04-15 15:25:44.806108
178.18;2021-04-15 15:26:12.204085
178.08;2021-04-15 15:26:39.584923
178.35;2021-04-15 15:27:07.142848
178.34;2021-04-15 15:27:53.108954
178.24;2021-04-15 15:28:20.581294
178.14;2021-04-15 15:29:24.551134
178.14;2021-04-15 15:29:52.026001
177.94;2021-04-15 15:30:35.925871
177.84;2021-04-15 15:31:03.400852
177.74;2021-04-15 15:31:30.941493
177.74;2021-04-15 16:53:25.971240
177.76;2021-04-15 17:31:03.818278
177.76;2021-04-15 18:01:28.619685
177.66;2021-04-15 18:31:14.835980
177.56;2021-04-15 18:32:23.541861
177.65;2021-04-15 18:33:59.146009
177.55;2021-04-15 18:34:58.319396
177.45;2021-04-15 18:35:38.775103
177.35;2021-04-15 18:36:06.185362
177.39;2021-04-15 18:36:33.594808
177.29;2021-04-15 18:37:21.421251
177.19;2021-04-15 18:37:48.849880
177.09;2021-04-15 18:38:16.241215
177.09;2021-04-15 18:38:43.810867
177.09;2021-04-15 19:05:46.910088
177.18;2021-04-15 19:36:56.784865
177.18;2021-04-15 19:38:02.606255
177.25;2021-04-15 19:38:30.244475
177.15;2021-04-15 19:38:57.608191
177.05;2021-04-15 19:39:48.863813
176.95;2021-04-15 19:40:16.420384
177.05;2021-04-15 19:40:40.516482
177.14;2021-04-15 19:42:39.113513
177.24;2021-04-15 19:43:05.580100
177.33;2021-04-15 19:47:29.438933
177.23;2021-04-15 19:47:55.349590
177.23;2021-04-15 19:48:22.788543
177.27;2021-04-15 19:48:45.914722
177.36;2021-04-15 19:49:13.398331
177.44;2021-04-15 19:50:17.091813
177.34;2021-04-15 19:51:21.710720
177.34;2021-04-15 19:51:49.142568
177.42;2021-04-15 19:52:58.901186
177.52;2021-04-15 19:53:23.946710
177.61;2021-04-15 19:54:34.276460
177.51;2021-04-15 19:55:08.321896
177.59;2021-04-15 19:55:35.711578
177.59;2021-04-15 19:56:03.052982
177.39;2021-04-15 19:56:54.680316
177.39;2021-04-15 19:57:22.106293
